indice,traducao
0,Prímula-rosa
1,Orquídea-de-folhas-duras
2,Sinos-de-Canterbury
3,Ervilha-de-cheiro
4,Calêndula
5,Lírio-tigre
6,Orquídea-da-lua
7,Ave-do-paraíso
8,Acônito
9,Cardo-globo
10,Boca-de-leão
11,Tussilagem
12,Proteia-rei
13,Cardo-de-lança
14,Íris-amarela
15,Flor-globo
16,Lírio-de-fogo
17,Equinácea-púrpura
18,Lírio-peruano
19,Campânula-balão
20,Lírio-arum-branco-gigante
21,Escabiosa
22,Fritilária
23,Gengibre-vermelho
24,Jacinto-uva
25,Papoula
26,Pluma-do-príncipe-de-Gales
27,Genciana-sem-caule
28,Alcachofra
29,Cravo-do-poeta
30,Cravo
31,Flox-de-jardim
32,Nigela
33,Áster-mexicano
34,Cardo-marítimo-alpino
35,Cattleya-de-lábio-rubi
36,Flor-do-Cabo
37,Astrância
38,Tulipa-do-Sião
39,Rosa-de-quaresma
40,Gérbera
41,Narciso
42,Gladíolo
43,Poinsétia
44,Bolero Deep Blue
45,Goivo
46,Cravo-de-defunto
47,Ranúnculo
48,Margarida
49,Dente-de-leão
50,Petúnia
51,Amor-perfeito-silvestre
52,Prímula
53,Girassol
54,Pelargônio
55,Dália Bishop of Llandaff
56,Gaura
57,Gerânio
58,Dália-laranja
59,Dália rosa-amarela
60,Cautleya spicata
61,Anêmona-japonesa
62,Rudbéquia
63,Arbusto-prateado
64,Papoula-da-Califórnia
65,Osteospermum
66,Açafrão-de-primavera
67,Íris-barbada
68,Anêmona
69,Papoula-arbórea
70,Gazânia
71,Azaleia
72,Nenúfar
73,Rosa
74,Estramônio
75,Glória-da-manhã
76,Flor-da-paixão
77,Lótus
78,Lírio-sapo
79,Antúrio
80,Jasmim-manga
81,Clematite
82,Hibisco
83,Aquilégia
84,Rosa-do-deserto
85,Malva-arbórea
86,Magnólia
87,Ciclame
88,Agrião
89,Cana-da-Índia
90,Amarílis
91,Bálsamo-de-abelha
92,Musgo-bola
93,Dedaleira
94,Bougainvillea
95,Camélia
96,Malva
97,Petúnia-mexicana
98,Bromélia
99,Gaillárdia
100,Cipó-de-trombeta
101,Lírio-amora
